numCinema;nomCinema;ancienneRegion;nouvelleRegion;adresseCinema;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;nbEcrans;nbFauteuils;nbSemainesActivite;nbSeances;nbEntrees2020;nbEntrees2019;evolutionEntrees;trancheEntrees;proprietaireCinema;programmateurCinema;AE;categorieAE;labelAE;genre;multiplexe;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude;geolocalisation
9351;MK2 GRAND PALAIS;Ile-de-France;Ile-de-France;COURS LA REINE PORTE C;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;1;104;13;305;4649;56639;-0,917918749;De 2 à 5 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;NON;;FIXE;NON;C;10;4;0;79,43643794;15,40116154;2,107980211;3,054420305;9;85,9539686;48.8649;2.314116;48.8649, 2.314116
9600;MK2 BIBLIOTHEQUE;Ile-de-France;Ile-de-France;128 A 162 AVENUE DE FRANCE;75113;Paris 13e Arrondissement;183216;75;00851;Paris;10706072;01-Paris;16;2952;31;20278;428669;487926;-0,121446695;De 300 à 450 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;NON;;FIXE;OUI;C;274;181;163;32,2816646;39,97147831;17,44051912;10,30633797;135;43,30926767;48.833718;2.373922;48.833718, 2.373922
9616;MK2 A&E;Ile-de-France;Ile-de-France;15/43 QUAI FRANCOIS MAURIAC;75113;Paris 13e Arrondissement;183216;75;00851;Paris;10706072;01-Paris;4;520;16;2712;41420;91197;-0,545818393;De 40 à 50 000 entrées;MK2 A & E;SA MK2 VISION;NON;NON;;FIXE;NON;C;66;52;19;44,15871596;29,6461936;8,882428941;17,3126615;46;70,84078712;48.832993;2.378615;48.832993, 2.378615
9906;UGC CINE CITE PARIS 19;Ile-de-France;Ile-de-France;166 BOULEVARD MAC DONALD;75119;Paris 19e Arrondissement;185654;75;00851;Paris;10706072;01-Paris;14;2790;31;13252;177666;807114;-0,779874962;De 150 à 200 000 entrées;UGC CINE CITE;UGC DIFFUSION;NON;NON;;FIXE;OUI;C;257;154;137;38,47332804;44,64785796;12,36483707;4,513976931;128;32,87241296;48.898991;2.376757;48.898991, 2.376757
75492;PARIS;Auvergne;Auvergne - Rhône-Alpes;PLACE DE LA LIBERTE;43040;Brioude;6743;43;43202;Brioude;7392;06-autres communes et unités urbaines;2;427;29;700;9354;5869;0,593797921;De 5 à 10 000 entrées;CINEMA LE PARIS;SNC SAGEC - CINE 32 VEO;NON;NON;;FIXE;NON;C;105;87;10;43,93836515;47,69910958;6,407308529;1,95521674;41;10,84242527;45.292071;3.387558;45.292071, 3.387558
67333;LE ROXY;Auvergne;Auvergne - Rhône-Alpes;AV D ANGLETERRE;63047;La Bourboule;1786;63;63102;La Bourboule;2267;06-autres communes et unités urbaines;1;192;29;255;5366;10392;-0,483641263;De 5 à 10 000 entrées;LE ROXY;;OUI;E;JP;FIXE;NON;C;65;56;1;70,81158045;19,30469862;7,130991932;2,752728999;27;37,52966303;45.585925;2.742025;45.585925, 2.742025
12401;STUDIO;Rhône-Alpes;Auvergne - Rhône-Alpes;VALMOREL;73024;Les Avanchers-Valmorel;766;73;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;2;345;21;549;6590;6619;-0,004381326;De 5 à 10 000 entrées;REGIE SERVICE PUBLIC STATION VALMOPARC;SARL MC4 DISTRIBUTION;NON;NON;;FIXE;NON;R;95;75;12;49,57004207;34,19716043;13,24236888;2,990428617;29;49,22976348;45.46071;6.441929;45.46071, 6.441929
14071;LE DOME GAMBETTA;Rhône-Alpes;Auvergne - Rhône-Alpes;12 RUE GAMBETTA;73011;Albertville;18969;73;73401;Albertville;40293;05-Unités urbaines de 20 000 à 100 000 hbts;1;247;17;294;5679;334960;-0,983045737;De 5 à 10 000 entrées;LES AMIS DU CINEMA;;NON;NON;;FIXE;NON;C;27;20;13;54,54289733;27,6230661;11,1673699;6,666666667;2;23,03797468;45.677069;6.392496;45.677069, 6.392496
14073;LE DOME;Rhône-Alpes;Auvergne - Rhône-Alpes;135 PLACE DE L EUROPE;73011;Albertville;18969;73;73401;Albertville;40293;05-Unités urbaines de 20 000 à 100 000 hbts;2;365;29;1187;19309;113700;-0,830175901;De 10 à 20 000 entrées;LES AMIS DU CINEMA;;OUI;D;RDJP;FIXE;NON;C;147;103;34;54,90848586;4,952530097;22,61427033;17,52471371;89;88,69531174;45.676502;6.391967;45.676502, 6.391967
74553;LE DORON;Rhône-Alpes;Auvergne - Rhône-Alpes;15 CHEMIN DES BAIGNEURS;73057;Brides-les-Bains;517;73;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;2;358;29;670;7123;7447;-0,043507453;De 5 à 10 000 entrées;LES AMIS DU CINEMA;LES CINEMAS GAUMONT PATHE;OUI;E;;FIXE;NON;R;154;116;7;60,28257457;32,18210361;4,042386185;3,492935636;74;23,05729984;45.452663;6.567576;45.452663, 6.567576
48422;LE SINGULIER CINEMA;Rhône-Alpes;Auvergne - Rhône-Alpes;3 BOULEVARD ROSSELLI;69019;Belleville;8293;69;00451;Belleville;23718;05-Unités urbaines de 20 000 à 100 000 hbts;2;299;31;1417;27477;135934;-0,79786514;De 20 à 30 000 entrées;ASSOCIATION IDEAL CINEMA;SNC SAGEC - CINE 32 VEO;OUI;D;RDJP;FIXE;NON;C;203;161;42;41,95985903;43,07090377;11,70479661;3,264440595;117;37,13039842;46.10617;4.748173;46.10617, 4.748173
76073;LES ALIZES;Rhône-Alpes;Auvergne - Rhône-Alpes;214  AV FRANKLIN ROOSEVELT;69029;Bron;40694;69;00758;Lyon;1639558;04-Unités urbaines de 100 000 hbts ou plus;2;345;27;1296;23477;53620;-0,562159642;De 20 à 30 000 entrées;ASSOCIATION LES AMIS DU CINEMA;;OUI;C;RDJPPR;FIXE;NON;B;130;84;31;46,68528412;50,99562895;1,979116076;0,33997086;81;10,83050024;45.731192;4.914994;45.731192, 4.914994
45266;CGR BEAUNE;Bourgogne;Bourgogne - Franche-Comté;13 BIS BOULEVARD MARECHAL JOFFRE;21054;Beaune;21661;21;21401;Beaune;21661;05-Unités urbaines de 20 000 à 100 000 hbts;6;898;31;4757;39414;43434;-0,09255422;De 30 à 40 000 entrées;CAP  CINEMA BEAUNE;SARL LES FILMS DE LA ROCHELLE;OUI;D;RDJP;FIXE;NON;I;129;94;64;73,0628655;16,72758285;5,116959064;5,092592593;51;46,78362573;47.026717;4.841456;47.026717, 4.841456
11101;LE FOYER;Bretagne;Bretagne;RUE NDU STADE;35001;Acigné;6521;35;35206;Acigné;6521;06-autres communes et unités urbaines;2;268;25;429;11347;11281;0,005850545;De 10 à 20 000 entrées;ASSOCIATION POUR LE DEVELOPPEMENT DU CINEMA A ACIGNE;SAS CINE DIFFUSION;OUI;E;;FIXE;NON;I;131;95;7;60,90398601;15,10632422;15,54819111;8,441498665;72;77,7041333;48.135609;-1.537695;48.135609, -1.537695
77732;CENTRE CULTUREL DU GRAND LOGIS;Bretagne;Bretagne;10 AVENUE DU GENERAL DE GAULLE;35047;Bruz;17978;35;35701;Rennes;330871;04-Unités urbaines de 100 000 hbts ou plus;1;322;2;35;2821;8316;-0,660774411;De 2 à 5 000 entrées;COMMUNE DE BRUZ;SAS CINE DIFFUSION;NON;NON;;FIXE;NON;B;14;1;0;42,83674263;48,31927747;6,477660147;2,366319756;1;13,72764519;48.02352;-1.744768;48.02352, -1.744768
84292;DUGUESCLIN;Bretagne;Bretagne;5 IMPASSE ST MEEN;35049;Cancale;5166;35;35203;Cancale;5166;06-autres communes et unités urbaines;1;228;23;160;5328;21190;-0,748560642;De 5 à 10 000 entrées;LA MOUETTE CANCALAISE;SAS CINE DIFFUSION;OUI;E;JP;FIXE;NON;I;94;74;5;46,42857143;48,48214286;2,767857143;2,321428571;59;31,42857143;48.676977;-1.85005;48.676977, -1.85005
11527;TRAVELLING;Languedoc-Roussillon;Occitanie;RUE BRESCOU;34003;Agde;26946;34;34401;Agde;26946;05-Unités urbaines de 20 000 à 100 000 hbts;4;757;30;2832;39662;14848;1,671201509;De 30 à 40 000 entrées;LE FESTIVAL;;OUI;D;RDJPPR;FIXE;NON;I;159;115;61;34,18069996;56,55732904;5,236491434;4,025479572;79;8,336506077;43.31185;3.473009;43.31185, 3.473009
13405;RENOIR;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;24 COURS MIRABEAU;13001;Aix-en-Provence;142668;13;00759;Marseille - Aix-en-Provence;1585498;04-Unités urbaines de 100 000 hbts ou plus;3;431;31;2270;64001;7477;7,559716464;De 50 à 80 000 entrées;SOCIETE AIXOISE CINEMATOGRAPHIQUE;;OUI;C;RD;FIXE;NON;B;79;57;52;62,57048872;30,16917293;5,122180451;2,138157895;69;24,31860902;43.526562;5.448932;43.526562, 5.448932
27833;PAGNOL;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;COURS FOCH;13005;Aubagne;45410;13;00759;Marseille - Aix-en-Provence;1585498;04-Unités urbaines de 100 000 hbts ou plus;4;579;23;2722;24661;250009;-0,901359551;De 20 à 30 000 entrées;CINEMA NEMO;;OUI;C;;FIXE;NON;B;98;80;63;60,21485994;19,46357115;9,481235805;10,84033311;42;82,75712895;43.293397;5.567708;43.293397, 5.567708
86693;L ARTEA;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;AVENUE CARDINAL DE LAVIGERIE;13119;Carnoux-en-Provence;6615;13;13209;Carnoux-en-Provence;6615;06-autres communes et unités urbaines;1;306;22;85;862;57693;-0,985058846;Moins de 2000 entrées;POLYMAGES;SARL MC4 DISTRIBUTION;NON;NON;;FIXE;NON;I;72;60;0;57,97613787;29,78347327;9,102960672;3,137428193;20;29,34158197;43.256071;5.568869;43.256071, 5.568869
