numUniteUrbaine;nomUniteUrbaine;annee;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE
47501;Agen;2010;2;9;1507;1;13537;266322;1810204,9;11,89816052;1;1;127;988;28067;109489;22,36842105
47501;Agen;2011;2;9;1507;1;13880;272557;1816737,2;11,76472366;1;1;127;1013;29897;121871,5;23,23883996
47501;Agen;2012;2;9;1507;1;13892;261552;1722555;11,3184522;1;1;127;1045;26999;113596,5;20,34359341
47501;Agen;2013;2;12;1883;1;13918;250265;1642221,9;10,38843572;1;2;288;1240;30267;134973;13,22372905
47501;Agen;2014;2;12;1883;1;20777;385389;2500926,85;11,99554403;1;2;288;2539;56822;276055;15,55122528
47501;Agen;2015;2;12;1883;1;20828;386286;2632089,8;11,97005488;1;2;288;2571;47364;234174,4;12,86205417
47501;Agen;2016;2;12;1883;1;20561;379646;2595666,15;12,00417249;1;2;288;2647;57766;287748,2;15,23405153
47501;Agen;2017;2;12;1883;1;19940;377134;2622638,1;12,30170548;2;12;1883;19940;377134;2622638,1;12,30170548
47501;Agen;2018;2;12;1883;1;22839;372291;2547947,6;10,47711274;1;2;288;2566;65876;315815,25;18,09859774
47501;Agen;2019;2;12;1883;1;22310;389814;2672099,33;11,40401894;1;2;288;2631;64565;319561,7;17,22789978
47501;Agen;2020;2;12;1883;1;11168;111110;736172,34;6,371954454;1;2;288;1183;24466;120981,1;14,3814439
2A501;Ajaccio;2010;4;4;2279;;1297;64163;554189;6,72525132;;;;;;;
2A501;Ajaccio;2011;5;5;2574;;1366;62884;525414;6,379402172;;;;;;;
2A501;Ajaccio;2012;5;5;2574;;1402;65459;514220,5;6,800454617;;;;;;;
2A501;Ajaccio;2013;6;6;3006;;1451;62036;453898,5;6,350896339;;;;;;;
2A501;Ajaccio;2014;7;12;4153;;2256;101799;764617,44;8,86123329;;;;;;;
2A501;Ajaccio;2015;7;12;4153;;10566;338094;2260517,32;13,18623459;;;;;;;
2A501;Ajaccio;2016;7;12;4153;;10391;380992;2572383,76;17,35009725;;;;;;;
2A501;Ajaccio;2017;6;11;3053;;10165;383500;2545169,1;19,06824642;1;6;1147;9810;366309;2467066,6;19,48036616
2A501;Ajaccio;2018;5;10;2625;;10301;357394;2338692,9;17,79972926;1;6;1147;10097;343793;2279244,9;17,74442043
2A501;Ajaccio;2019;5;10;2625;;10360;362715;2333934;17,96985232;1;6;1147;10165;347942;2269668,5;17,84500974
2A501;Ajaccio;2020;3;8;1761;;5052;96619;612815;9,927408541;1;6;1147;5000;92569;595028;9,672558872
81502;Albi;2010;3;8;1456;;10772;216782;1271674,5;11,01751208;2;4;609;5124;113709;638666,3;14,56543487
81502;Albi;2011;3;8;1456;;10538;234823;1404017,75;12,04330447;2;4;609;4800;121790;703053,85;16,47028276
81502;Albi;2012;3;8;1456;;10711;217394;1310844,9;11,02226468;2;4;609;4949;88517;497986,4;11,61474277
81502;Albi;2013;3;12;2142;1;10935;213878;1273686,2;10,87746262;2;4;609;5005;89531;498151,2;11,63772541
81502;Albi;2014;3;12;2142;1;16801;328794;1996933,3;10,81615426;2;4;609;4014;52649;245651,7;8,539969927
81502;Albi;2015;3;12;2142;1;18297;316061;2015869;9,46473763;2;4;609;3758;54171;264049,1;9,377823942
81502;Albi;2016;3;12;2142;1;18457;324650;2085186,6;9,665188234;2;4;609;3879;69013;337881,5;11,60165082
81502;Albi;2017;3;12;2142;1;17228;307027;1997246,5;9,752914022;2;4;609;2606;47216;209075;11,88015177
81502;Albi;2018;3;12;2142;1;17761;279144;1864818,76;8,437233072;2;4;609;1805;37479;167303,51;13,78796574
81502;Albi;2019;3;12;2142;1;19338;301100;2033061,44;8,610188103;2;9;1675;16481;265179;1825324,83;8,68905466
81502;Albi;2020;3;12;2142;1;9430;86324;553937,25;5,02165167;2;4;609;1759;23055;109280,95;8,560829979
30501;Alès;2010;2;8;973;;10031;190712;1227003;15,78336685;2;8;973;10031;190712;1227003;15,78336685
30501;Alès;2011;2;8;973;;10139;198377;1292476,25;16,14029692;2;8;973;10139;198377;1292476,25;16,14029692
30501;Alès;2012;2;8;973;;10154;184543;1209144,15;15,01740229;2;8;973;10154;184543;1209144,15;15,01740229
30501;Alès;2013;2;8;973;;10864;176436;1127005,15;13,42790822;2;8;973;10864;176436;1127005,15;13,42790822
30501;Alès;2014;2;8;973;;12389;193054;1206057,45;13,08728881;2;8;973;12389;193054;1206057,45;13,08728881
30501;Alès;2015;1;8;1312;1;9768;186368;1217815,25;11,42488625;1;8;1312;9768;186368;1217815,25;11,42488625
30501;Alès;2016;1;8;1312;1;13382;286845;2101020,5;13,32704254;1;8;1312;13382;286845;2101020,5;13,32704254
30501;Alès;2017;1;8;1309;1;13276;293757;2183510,63;13,86173888;1;8;1309;13276;293757;2183510,63;13,86173888
30501;Alès;2018;1;8;1309;1;13634;289875;2187808,2;13,24999909;1;8;1309;13634;289875;2187808,2;13,24999909
30501;Alès;2019;1;8;1309;1;13679;316275;2328973,04;14,57475046;1;8;1309;13679;316275;2328973,04;14,57475046
30501;Alès;2020;1;8;1309;1;6713;86008;618800,2;8,160616354;1;8;1309;6713;86008;618800,2;8,160616354
80601;Amiens;2010;3;14;3124;1;21711;881002;6277116,78;18,54800797;2;2;442;2625;65281;261983,6;10,90612324
80601;Amiens;2011;3;14;3124;1;26054;940451;6667461,41;16,36132347;2;2;442;2602;69846;291140,25;11,76674731
80601;Amiens;2012;3;14;3124;1;26759;899910;6425232,52;15,46811719;2;2;442;2680;66775;281080,65;10,90364298
80601;Amiens;2013;3;14;3124;1;25922;824714;5892710,98;14,53224652;2;2;442;2631;64479;266605,51;10,76016541
80601;Amiens;2014;3;14;3124;1;26412;926071;6584926,21;15,92723908;2;2;442;2643;71472;302370,4;11,83695371
80601;Amiens;2015;3;14;3124;1;26023;905544;6485002,73;15,87826565;2;2;442;2614;69355;291812,13;11,60636589
80601;Amiens;2016;3;14;3124;1;25500;907129;6540700,53;16,17652697;2;2;442;2581;75225;321028,72;12,78927826
80601;Amiens;2017;3;14;3124;1;25948;855974;6244906,46;15,19449275;2;2;442;2579;77793;323724,36;13,26411954
80601;Amiens;2018;3;14;3124;1;26456;824772;5902224,66;14,23782498;2;2;442;2546;73324;309179,33;12,61570649
80601;Amiens;2019;3;14;3111;1;24034;830454;6338957,25;15,58610179;2;2;429;2481;75241;339020,45;13,59647696
80601;Amiens;2020;3;14;3111;1;11755;265173;1933297,93;10,15423603;2;2;429;1426;35961;166072,35;11,44052429
49701;Angers;2010;5;26;5287;1;38262;1336256;9340242,23;17,77561863;1;7;886;11987;312932;1560727,8;20,68588955
49701;Angers;2011;5;26;5287;1;39188;1372718;9445538,13;17,73099233;1;7;886;12267;331628;1675534,7;21,33782531
49701;Angers;2012;5;26;5287;1;39861;1304018;9092161,99;16,63810541;1;7;886;12588;308255;1555369,7;19,29280273
49701;Angers;2013;4;25;5195;1;38808;1217199;8465123,6;16,28813755;1;7;886;12586;318033;1626561,95;20,1526883
49701;Angers;2014;2;19;3408;1;35296;1267469;8694083,05;19,827609;1;7;886;12328;309259;1565751,4;19,91247138
49701;Angers;2015;3;25;4597;1;37798;1261373;8778318,8;18,61788678;1;7;886;12668;302948;1548864,1;18,97044799
49701;Angers;2016;3;25;4597;1;45890;1380050;9338656,44;16,42358265;1;7;886;12404;317854;1644962,73;20,43015591
49701;Angers;2017;3;25;4522;1;45127;1394828;9217922,59;17,37725133;1;7;811;12577;308290;1575287,11;21,47545255
49701;Angers;2018;3;25;4522;1;44627;1333614;9047654,33;16,74292931;1;7;811;12504;304002;1561285,45;21,26450209
49701;Angers;2019;3;25;4522;1;44996;1413767;10020674,54;17,61586646;1;7;811;12356;339013;1772384,9;24,10179811
49701;Angers;2020;3;25;4522;1;21874;472087;3232266,42;12,21697173;1;7;811;6331;137014;718587,8;18,93810912
16601;Angoulême;2010;2;13;2170;1;24889;500125;3192816,35;11,96280116;1;2;294;2123;46108;183404,5;13,94208236
16601;Angoulême;2011;2;13;2170;1;24351;509615;3311629,3;12,49234266;1;2;294;2202;47114;196265,4;13,50381491
16601;Angoulême;2012;2;13;2170;1;25117;479268;3105262,25;11,57676782;1;2;294;2431;45599;184666,1;12,66121889
16601;Angoulême;2013;2;13;2170;1;25227;434497;2815904,55;10,43674162;1;2;294;2648;47239;199206,5;12,15820413
16601;Angoulême;2014;2;13;2170;1;24931;472912;3087402,55;11,42144472;1;2;294;2572;51582;223825,1;13,62354209
16601;Angoulême;2015;2;13;2170;1;24683;464741;3098294,65;11,38892987;1;2;294;2528;47051;195241,7;12,76007767
