semaine,annee,nbEntrees,recettes,nbSeances
semaine 0*,1993,
semaine 0*,1994,
semaine 4,2015,3995027,25259428,49,147662
semaine 4,2016,3278245,20299507,97,146745
semaine 4,2017,4426108,28479347,88,154217
semaine 4,2018,3514230,22381171,99,160386
semaine 4,2019,3938020,26085897,81,159675
semaine 4,2020,3290642,22120647,17,165373
semaine 5,1993,2507502,12983166,73,
semaine 5,1994,2301602,12027802,13,
semaine 5,1995,3021241,16142225,63,74895
semaine 5,1996,3040376,16445064,54,79521
semaine 5,1997,2744103,14402245,87,86414
semaine 5,1998,3875941,21302473,19,84759
semaine 5,1999,2823793,14912137,5,95539
semaine 5,2000,3213993,17537281,44,100645
semaine 5,2001,5048839,27410804,108023
semaine 5,2002,5565386,31311225,01,107341
semaine 5,2003,3891232,22103663,9,107340
semaine 5,2004,3701053,21535083,55,112433
semaine 5,2005,3165906,18628473,58,111864
semaine 5,2006,6472667,39516255,56,124600
semaine 5,2007,3175525,18737300,118643
semaine 5,2008,5186577,31428395,49,122864
semaine 5,2009,3483655,20296799,86,126860
semaine 5,2010,4783468,30562589,3,126972
semaine 5,2011,3460596,20193214,64,132205
semaine 5,2012,3813880,24064974,89,131954
semaine 5,2013,3513651,21766435,32,132946
semaine 5,2014,3494426,21273476,76,143873
semaine 5,2015,3513412,22614636,23,146340
semaine 5,2016,3757404,24019384,54,148700
semaine 5,2017,5491071,35946480,35,159740
semaine 5,2018,4767107,31374549,64,161427
semaine 5,2019,4945774,33607907,58,162751
semaine 5,2020,3148511,21117521,46,167151
semaine 6,1993,2820362,14357954,56,
semaine 6,1994,2834577,14579958,29,
semaine 6,1995,3673325,19269362,17,76567
semaine 6,1996,3061870,16548989,95,78692
semaine 6,1997,2898537,15201170,72,90054
semaine 6,1998,4294070,23143220,86,90016
semaine 6,1999,4865473,26239494,14,100475
semaine 6,2000,3921328,20943030,44,104338
semaine 6,2001,6333028,35093268,95,112717
semaine 6,2002,6904236,39103046,27,114812
semaine 6,2003,4934324,28265669,07,115524
semaine 6,2004,4292243,25267497,25,117970
semaine 6,2005,3787881,22603122,83,118678
semaine 6,2006,5635409,34239551,01,131482
semaine 6,2007,3806892,23022366,61,122795
semaine 6,2008,4234797,25689748,72,127541
semaine 6,2009,4494166,27754209,09,128036
semaine 6,2010,4976886,32184862,35,131498
semaine 6,2011,4697412,29043692,52,134392
semaine 6,2012,4072046,26303376,36,136475
semaine 6,2013,3123578,19414498,6,134758
semaine 6,2014,3586029,22022586,47,145066
semaine 6,2015,4224580,26602000,64,152768
semaine 6,2016,5296344,34194923,76,155852
semaine 6,2017,6845185,45953100,86,163058
semaine 6,2018,5412814,36995159,76,165748
semaine 6,2019,5701885,38403850,6,169103
semaine 6,2020,3643096,24215400,79,174050
semaine 7,1993,2896097,15082456,62,
semaine 7,1994,2865994,15036756,68,
semaine 7,1995,3613466,19194754,38,80458
semaine 7,1996,3333654,17506152,99,81131
semaine 7,1997,3435663,18206658,55,94817
semaine 7,1998,5949486,32534912,3,94401
semaine 7,1999,4872277,25960705,92,105786
semaine 7,2000,4572053,24655177,13,107827
semaine 7,2001,5914058,32622102,79,114955
semaine 7,2002,6182406,34911240,95,116343
semaine 7,2003,4978143,28720652,62,118095
semaine 7,2004,5106854,30195531,89,123992
semaine 7,2005,4507279,26951026,96,127973
semaine 7,2006,5742376,34857868,12,133568
semaine 7,2007,6259950,38318247,81,128614
semaine 7,2008,4469789,27259616,79,134274
semaine 7,2009,4993887,30741677,09,134690
semaine 7,2010,5057247,32420422,89,138331
semaine 7,2011,5158041,32529741,95,135234
semaine 7,2012,4529297,29243324,26,146980
semaine 7,2013,3264666,20859282,84,136449
semaine 7,2014,4511359,27975937,87,149247
semaine 7,2015,6686634,44122794,74,157894
semaine 7,2016,6983361,45957365,2,165912
semaine 7,2017,6592361,43529783,8,169435
semaine 7,2018,6324751,42755967,53,170186
semaine 7,2019,6042632,40841307,15,177410
semaine 7,2020,4672262,31074495,43,181086
semaine 8,1993,3056232,15894577,39,
semaine 8,1994,3156231,16466253,58,
semaine 8,1995,3565344,18950121,58,80930
semaine 8,1996,3579654,19299684,74,84894
semaine 8,1997,3242716,16795626,03,95457
semaine 8,1998,5742323,31385199,31,94261
semaine 8,1999,5026377,26730152,43,107699
semaine 8,2000,4875575,26262185,42,110152
semaine 8,2001,5228219,28699588,09,114660
semaine 8,2002,5021782,28155736,9,112638
semaine 8,2003,4868729,27965487,34,123712
semaine 8,2004,5468278,32329903,27,126707
semaine 8,2005,4690117,28139479,09,129994
semaine 8,2006,4986327,30074111,41,131309
semaine 8,2007,6269031,38424452,94,131415
semaine 8,2008,5261490,32251330,62,136133
semaine 8,2009,5273201,32751763,64,137896
semaine 8,2010,5726707,36362706,24,141772
semaine 8,2011,6041266,38306053,17,142489
semaine 8,2012,4630051,29682842,4,145317
semaine 8,2013,4232432,26977497,86,146144
semaine 8,2014,4783958,29784116,8,155467
semaine 8,2015,6807745,43967734,56,159448
semaine 8,2016,6944389,44595188,56,168963
semaine 8,2017,6012637,39505144,77,164908
semaine 8,2018,5802714,39028288,26,172130
semaine 8,2019,5278020,35172462,97,178211
semaine 8,2020,4808501,32012106,59,185446
semaine 9,1993,3158972,16422005,86,
semaine 9,1994,3102642,16199937,65,
semaine 9,1995,3250456,17351151,07,79928
semaine 9,1996,3827258,20755325,27,86123
semaine 9,1997,3101544,16521501,21,90431
semaine 9,1998,5111217,27856843,14,90837
semaine 9,1999,3768048,20025444,1,101755
semaine 9,2000,3773065,20309672,58,110974
semaine 9,2001,4944783,27371068,65,110412
semaine 9,2002,3781792,21131947,48,105147
semaine 9,2003,4857519,28052698,42,121091
semaine 9,2004,4472645,26399479,73,123000
semaine 9,2005,3894144,23140868,09,125007
semaine 9,2006,3586557,21424279,67,124017
semaine 9,2007,4867074,29628028,81,128105
semaine 9,2008,7558093,47275223,84,131877
semaine 9,2009,4835859,29950888,47,135360
semaine 9,2010,4860448,30394163,56,135801
semaine 9,2011,6073190,38779696,69,148738
semaine 9,2012,4378080,27985169,06,142855
semaine 9,2013,4749709,30336411,97,151220
semaine 9,2014,6757236,42593817,32,159791
semaine 9,2015,5805523,37049668,42,158231
semaine 9,2016,6788194,44567029,08,159048
semaine 9,2017,5077868,33733483,03,155212
semaine 9,2018,6206867,41363989,73,172534
semaine 9,2019,4939552,33156722,49,172415
semaine 9,2020,4323203,28393964,32,181584
semaine 10,1993,2779010,14457625,42,
semaine 10,1994,2807438,14869104,22,
semaine 10,1995,2454384,12896832,87,75863
semaine 10,1996,3076494,16587939,76,82239
semaine 10,1997,2494401,13205963,49,85274
semaine 10,1998,4219660,22925207,99,87351
semaine 10,1999,3100726,16569540,5,97735
semaine 10,2000,3304193,18013641,59,100460
semaine 10,2001,3838732,20938335,51,107204
semaine 10,2002,3054671,16749562,92,105601
semaine 10,2003,3060539,17350929,23,113770
semaine 10,2004,3627357,21107737,75,118802
semaine 10,2005,3083647,18149322,7,118234
semaine 10,2006,3164360,18648371,03,120950
semaine 10,2007,3378472,20001603,37,123140
semaine 10,2008,6430788,39949053,88,127615
semaine 10,2009,4351282,26720641,11,128679
semaine 10,2010,3645215,22375357,22,129036
semaine 10,2011,4611274,28744113,79,146404
semaine 10,2012,3394637,21643504,42,138974
semaine 10,2013,4319039,27716282,07,148907
semaine 10,2014,4811308,30966054,73,158435
semaine 10,2015,3550970,22309464,18,150654
semaine 10,2016,5133741,33733377,46,154147
semaine 10,2017,4067692,27110780,05,151949
