numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;numCinema;geolocalisation;;;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;;;;;AE;categorieAE;labelAE;;;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude
9906;UGC CINE CITE PARIS 19;166 BOULEVARD MAC DONALD;UGC CINE CITE;UGC DIFFUSION;FIXE;OUI;9906;48.898991, 2.376757;;;75119;Paris 19e Arrondissement;185654;75;851;Paris;10706072;01-Paris;;;;;NON;NON;;;;C;257;154;137;38,47332804;44,64785796;12,36483707;4,513976931;128;32,87241296;48.898991;2.376757
75492;PARIS;PLACE DE LA LIBERTE;CINEMA LE PARIS;SNC SAGEC - CINE 32 VEO;FIXE;NON;75492;45.292071, 3.387558;;;43040;Brioude;6743;43;43202;Brioude;7392;06-autres communes et unités urbaines;;;;;NON;NON;;;;C;105;87;10;43,93836515;47,69910958;6,407308529;1,95521674;41;10,84242527;45.292071;3.387558
67333;LE ROXY;AV D ANGLETERRE;LE ROXY;;FIXE;NON;67333;45.585925, 2.742025;;;63047;La Bourboule;1786;63;63102;La Bourboule;2267;06-autres communes et unités urbaines;;;;;OUI;E;JP;;;C;65;56;1;70,81158045;19,30469862;7,130991932;2,752728999;27;37,52966303;45.585925;2.742025
12401;STUDIO;VALMOREL;REGIE SERVICE PUBLIC STATION VALMOPARC;SARL MC4 DISTRIBUTION;FIXE;NON;12401;45.46071, 6.441929;;;73024;Les Avanchers-Valmorel;766;73;0;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;R;95;75;12;49,57004207;34,19716043;13,24236888;2,990428617;29;49,22976348;45.46071;6.441929
14071;LE DOME GAMBETTA;12 RUE GAMBETTA;LES AMIS DU CINEMA;;FIXE;NON;14071;45.677069, 6.392496;;;73011;Albertville;18969;73;73401;Albertville;40293;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;NON;NON;;;;C;27;20;13;54,54289733;27,6230661;11,1673699;6,666666667;2;23,03797468;45.677069;6.392496
14073;LE DOME;135 PLACE DE L EUROPE;LES AMIS DU CINEMA;;FIXE;NON;14073;45.676502, 6.391967;;;73011;Albertville;18969;73;73401;Albertville;40293;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;RDJP;;;C;147;103;34;54,90848586;4,952530097;22,61427033;17,52471371;89;88,69531174;45.676502;6.391967
74553;LE DORON;15 CHEMIN DES BAIGNEURS;LES AMIS DU CINEMA;LES CINEMAS GAUMONT PATHE;FIXE;NON;74553;45.452663, 6.567576;;;73057;Brides-les-Bains;517;73;0;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;E;;;;R;154;116;7;60,28257457;32,18210361;4,042386185;3,492935636;74;23,05729984;45.452663;6.567576
48422;LE SINGULIER CINEMA;3 BOULEVARD ROSSELLI;ASSOCIATION IDEAL CINEMA;SNC SAGEC - CINE 32 VEO;FIXE;NON;48422;46.10617, 4.748173;;;69019;Belleville;8293;69;451;Belleville;23718;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;RDJP;;;C;203;161;42;41,95985903;43,07090377;11,70479661;3,264440595;117;37,13039842;46.10617;4.748173
76073;LES ALIZES;214  AV FRANKLIN ROOSEVELT;ASSOCIATION LES AMIS DU CINEMA;;FIXE;NON;76073;45.731192, 4.914994;;;69029;Bron;40694;69;758;Lyon;1639558;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;C;RDJPPR;;;B;130;84;31;46,68528412;50,99562895;1,979116076;0,33997086;81;10,83050024;45.731192;4.914994
45266;CGR BEAUNE;13 BIS BOULEVARD MARECHAL JOFFRE;CAP  CINEMA BEAUNE;SARL LES FILMS DE LA ROCHELLE;FIXE;NON;45266;47.026717, 4.841456;;;21054;Beaune;21661;21;21401;Beaune;21661;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;RDJP;;;I;129;94;64;73,0628655;16,72758285;5,116959064;5,092592593;51;46,78362573;47.026717;4.841456
