geolocalisation;latitude;longitude
45.738722, 1.741383;45.738722;1.741383
44.879016, -0.6384;44.879016;-0.6384
48.033874, -3.488682;48.033874;-3.488682
43.620961, 6.698294;43.620961;6.698294
49.174952, 3.127739;49.174952;3.127739
45.389679, 4.28977;45.389679;4.28977
43.382416, 6.204033;43.382416;6.204033
48.404394, 2.699594;48.404394;2.699594
49.141819, 6.81071;49.141819;6.81071
48.884043, 2.529952;48.884043;2.529952
43.901202, 1.895449;43.901202;1.895449
43.936455, 3.709731;43.936455;3.709731
44.557036, 6.078807;44.557036;6.078807
45.629474, 0.233829;45.629474;0.233829
48.844239, 2.188722;48.844239;2.188722
43.454749, 5.470731;43.454749;5.470731
48.069277, 6.867186;48.069277;6.867186
46.152434, 6.657281;46.152434;6.657281
46.332254, 6.05905;46.332254;6.05905
50.135351, 4.82068;50.135351;4.82068
49.504857, 0.228509;49.504857;0.228509
44.775936, 1.72351;44.775936;1.72351
51.018143, 2.300028;51.018143;2.300028
43.659584, 6.922053;43.659584;6.922053
51.003064, 2.131258;51.003064;2.131258
47.448741, 5.587904;47.448741;5.587904
45.185486, 5.731291;45.185486;5.731291
47.641631, -3.45272;47.641631;-3.45272
47.630162, -1.8325;47.630162;-1.8325
47.941328, -1.226507;47.941328;-1.226507
47.8255858, -1.8447579999999562;47.8255858;-1.8447579999999562
50.445859, 2.905974;50.445859;2.905974
49.48976, 0.131344;49.48976;0.131344
49.419105, 0.234146;49.419105;0.234146
45.184656, -1.059343;45.184656;-1.059343
49.110771, 2.211976;49.110771;2.211976
43.381163, 0.836443;43.381163;0.836443
44.18736, 7.045728;44.18736;7.045728
45.543752, 3.244977;45.543752;3.244977
48.825247, 2.271161;48.825247;2.271161
48.824074, 2.387803;48.824074;2.387803
47.953858, -2.545992;47.953858;-2.545992
43.847212, 5.273548;43.847212;5.273548
48.46778, -2.510319;48.46778;-2.510319
48.452604, -4.252927;48.452604;-4.252927
44.314841, 5.822237;44.314841;5.822237
43.860403, 7.223268;43.860403;7.223268
50.636559, 3.066988;50.636559;3.066988
49.518115, 0.53231;49.518115;0.53231
49.143794, 0.227798;49.143794;0.227798
46.673143, 5.558777;46.673143;5.558777
43.493104, 6.361864;43.493104;6.361864
48.172681, -2.751236;48.172681;-2.751236
42.795333, 0.411078;42.795333;0.411078
46.630199, 5.222983;46.630199;5.222983
43.395569, 6.311016;43.395569;6.311016
49.310786, -0.361997;49.310786;-0.361997
47.686072, 6.497922;47.686072;6.497922
45.768607, 4.834444;45.768607;4.834444
45.757455, 4.835595;45.757455;4.835595
46.993184, -1.823515;46.993184;-1.823515
48.820911, 2.302756;48.820911;2.302756
48.007113, 0.199047;48.007113;0.199047
49.000101, 1.683456;49.000101;1.683456
48.642026, 2.222592;48.642026;2.222592
43.360713, 5.330247;43.360713;5.330247
48.732679, 2.288638;48.732679;2.288638
47.891029, -1.991909;47.891029;-1.991909
42.814211, 2.600537;42.814211;2.600537
43.731827, 0.878411;43.731827;0.878411
48.95945, 2.882959;48.95945;2.882959
46.222661, -0.144659;46.222661;-0.144659
50.066803, 1.384364;50.066803;1.384364
49.234352, 2.134691;49.234352;2.134691
49.060326, 2.170288;49.060326;2.170288
45.916394, 6.090209;45.916394;6.090209
44.100489, 3.076198;44.100489;3.076198
43.513752, 0.405519;43.513752;0.405519
47.808314, -3.635534;47.808314;-3.635534
45.008093, 0.159645;45.008093;0.159645
