numCommune;nomCommune;populationCommune;situationGeographique;zoneCommune;numDepartement;nouvelleRegion;numUniteUrbaine
16015;Angoulême;42081;04-Unités urbaines de 100 000 hbts ou plus;C;16;Nouvelle Aquitaine;16601
16028;Barbezieux-Saint-Hilaire;4687;06-autres communes et unités urbaines;I;16;Nouvelle Aquitaine;16107
45008;Artenay;1832;04-Unités urbaines de 100 000 hbts ou plus;R;45;Centre - Val-de-Loire;0
66008;Argelès-sur-Mer;10383;05-Unités urbaines de 20 000 à 100 000 hbts;C;66;Occitanie;66401
66037;Canet-en-Roussillon;11965;06-autres communes et unités urbaines;I;66;Occitanie;66301
18033;Bourges;66071;05-Unités urbaines de 20 000 à 100 000 hbts;C;18;Centre - Val-de-Loire;18501
62041;Arras;40721;05-Unités urbaines de 20 000 à 100 000 hbts;C;62;Hauts-de-France;62502
62048;Auchel;10574;04-Unités urbaines de 100 000 hbts ou plus;B;62;Hauts-de-France;752
57032;Ars-sur-Moselle;4720;04-Unités urbaines de 100 000 hbts ou plus;B;57;Grand-Est;57701
68063;Cernay;11608;05-Unités urbaines de 20 000 à 100 000 hbts;C;68;Grand-Est;68402
93005;Aulnay-sous-Bois;83584;02-Grande Couronne;B;93;Ile-de-France;851
93005;Aulnay-sous-Bois;83584;02-Grande Couronne;B;93;Ile-de-France;851
93007;Le Blanc-Mesnil;55297;02-Grande Couronne;B;93;Ile-de-France;851
93010;Bondy;53439;02-Grande Couronne;B;93;Ile-de-France;851
52060;Bourbonne-les-Bains;2118;06-autres communes et unités urbaines;I;52;Grand-Est;52101
31033;Auterive;9417;06-autres communes et unités urbaines;I;31;Occitanie;31208
31069;Blagnac;23759;04-Unités urbaines de 100 000 hbts ou plus;B;31;Occitanie;31701
88029;La Vôge-les-Bains;1700;04-Unités urbaines de 100 000 hbts ou plus;R;88;Grand-Est;0
88075;La Bresse;4243;05-Unités urbaines de 20 000 à 100 000 hbts;C;88;Grand-Est;88402
84007;Avignon;92130;04-Unités urbaines de 100 000 hbts ou plus;C;84;Provence-Alpes-Côte-d'Azur;754
54079;Blénod-lès-Pont-à-Mousson;4563;05-Unités urbaines de 20 000 à 100 000 hbts;B;54;Grand-Est;54404
50025;Avranches;7766;06-autres communes et unités urbaines;C;50;Normandie;50301
83009;Bandol;8122;04-Unités urbaines de 100 000 hbts ou plus;B;83;Provence-Alpes-Côte-d'Azur;757
59136;Le Cateau-Cambrésis;7033;06-autres communes et unités urbaines;C;59;Hauts-de-France;59208
30029;Barjac;1576;04-Unités urbaines de 100 000 hbts ou plus;R;30;Occitanie;0
82013;Beaumont-de-Lomagne;3744;06-autres communes et unités urbaines;I;82;Occitanie;82103
49023;Beaupréau-en-Mauges;22965;05-Unités urbaines de 20 000 à 100 000 hbts;I;49;Pays de la Loire;49206
87011;Bellac;4107;06-autres communes et unités urbaines;C;87;Nouvelle Aquitaine;87202
78073;Bois-d'Arcy;14299;03-Petite couronne;B;78;Ile-de-France;851
91097;Boussy-Saint-Antoine;7027;03-Petite couronne;B;91;Ile-de-France;851
91103;Brétigny-sur-Orge;26215;03-Petite couronne;B;91;Ile-de-France;851
44012;La Bernerie-en-Retz;2834;06-autres communes et unités urbaines;B;44;Pays de la Loire;44304
44020;Bouguenais;18815;04-Unités urbaines de 100 000 hbts ou plus;B;44;Pays de la Loire;44701
44026;Carquefou;19411;04-Unités urbaines de 100 000 hbts ou plus;B;44;Pays de la Loire;44701
33051;Biganos;10258;06-autres communes et unités urbaines;C;33;Nouvelle Aquitaine;33304
33097;Carcans;2388;04-Unités urbaines de 100 000 hbts ou plus;R;33;Nouvelle Aquitaine;0
94004;Boissy-Saint-Léger;15922;02-Grande Couronne;B;94;Ile-de-France;851
95127;Cergy;63395;03-Petite couronne;B;95;Ile-de-France;851
