numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
18701;Normandie;6 RUE DESIRE ROUSSEL;COMMUNE D'ANET;;FIXE;NON;48.857505, 1.439036;Centre - Val-de-Loire;28;28007;Anet
19941;NEMOURS;22 RUE STE CLAIRE;ROUEX;LES CINEMAS GAUMONT PATHE;FIXE;NON;45.898226, 6.123792;Auvergne - Rhone-Alpes;74;74010;Annecy
19945;CINEMA MJC NOVEL;PLACE ANNAPURNA;MJC POUR TOUS D'ANNECY NOVEL;;FIXE;NON;45.917017, 6.134075;Auvergne - Rhone-Alpes;74;74010;Annecy
19984;SALEVE;LE CLOS FLEURY;CINEMONDE;;FIXE;NON;46.192243, 6.232615;Auvergne - Rhone-Alpes;74;74012;Annemasse
21571;LE CHOUCA;LA FRASSE;BAUCINE;;FIXE;NON;46.042963, 6.631059;Auvergne - Rhone-Alpes;74;74014;Araches-la-Frasse
23262;LE TURENNE;AVENUE  POINCARE;CENTRE REGIONAL PROMOTION IMAGE LE SENECHAL;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.091845, 1.943901;Nouvelle Aquitaine;19;19010;Argentat-sur-Dordogne
23491;LE COMMYNES;RUE DE LA FRERIE;ASSOCIATION SAINTE CECILE;;FIXE;NON;46.983737, -0.446514;Nouvelle Aquitaine;79;79013;Argentonnay
24753;STARS;13 AV DU GENERAL DE GAULLE;CINAEA;;FIXE;NON;48.590692, 2.250123;Ile-de-France;91;91021;Arpajon
25032;MEGARAMA ARRAS;48 GRAND' PLACE;LECA;SAS AGORA CINEMAS;FIXE;NON;50.29185, 2.780997;Hauts-de-France;62;62041;Arras
28113;PAUL GRIMAULT;1 AV DE LA DIVISION LECLERC;SCENE ET ECRAN;SARL GPCI;FIXE;NON;48.9589, 1.855229;Ile-de-France;78;78029;Aubergenville
28264;STUDIO;2 RUE EDOUARD POISSON;ASSOCIATION CINEMA LE STUDIO;SARL GPCI;FIXE;NON;48.910534, 2.384966;Ile-de-France;93;93001;Aubervilliers
