numCommune;nomCommune;populationCommune;situationGeographique;zoneCommune;numDepartement;nouvelleRegion;numUniteUrbaine
16015;Angouleme;42081;04-Unites urbaines de 100 000 hbts ou plus;C;16;Nouvelle Aquitaine;16601
16028;Barbezieux-Saint-Hilaire;4687;06-autres communes et unites urbaines;I;16;Nouvelle Aquitaine;16107
45008;Artenay;1832;04-Unites urbaines de 100 000 hbts ou plus;R;45;Centre - Val-de-Loire;0
66008;Argeles-sur-Mer;10383;05-Unites urbaines de 20 000 a 100 000 hbts;C;66;Occitanie;66401
66037;Canet-en-Roussillon;11965;06-autres communes et unites urbaines;I;66;Occitanie;66301
18033;Bourges;66071;05-Unites urbaines de 20 000 a 100 000 hbts;C;18;Centre - Val-de-Loire;18501
62041;Arras;40721;05-Unites urbaines de 20 000 a 100 000 hbts;C;62;Hauts-de-France;62502
62048;Auchel;10574;04-Unites urbaines de 100 000 hbts ou plus;B;62;Hauts-de-France;752
57032;Ars-sur-Moselle;4720;04-Unites urbaines de 100 000 hbts ou plus;B;57;Grand-Est;57701
68063;Cernay;11608;05-Unites urbaines de 20 000 a 100 000 hbts;C;68;Grand-Est;68402
93005;Aulnay-sous-Bois;83584;02-Grande Couronne;B;93;Ile-de-France;851
93005;Aulnay-sous-Bois;83584;02-Grande Couronne;B;93;Ile-de-France;851
93007;Le Blanc-Mesnil;55297;02-Grande Couronne;B;93;Ile-de-France;851
93010;Bondy;53439;02-Grande Couronne;B;93;Ile-de-France;851
52060;Bourbonne-les-Bains;2118;06-autres communes et unites urbaines;I;52;Grand-Est;52101
31033;Auterive;9417;06-autres communes et unites urbaines;I;31;Occitanie;31208
31069;Blagnac;23759;04-Unites urbaines de 100 000 hbts ou plus;B;31;Occitanie;31701
88029;La Voge-les-Bains;1700;04-Unites urbaines de 100 000 hbts ou plus;R;88;Grand-Est;0
88075;La Bresse;4243;05-Unites urbaines de 20 000 a 100 000 hbts;C;88;Grand-Est;88402
84007;Avignon;92130;04-Unites urbaines de 100 000 hbts ou plus;C;84;Provence-Alpes-Cote-d'Azur;754
54079;Blenod-les-Pont-a-Mousson;4563;05-Unites urbaines de 20 000 a 100 000 hbts;B;54;Grand-Est;54404
50025;Avranches;7766;06-autres communes et unites urbaines;C;50;Normandie;50301
83009;Bandol;8122;04-Unites urbaines de 100 000 hbts ou plus;B;83;Provence-Alpes-Cote-d'Azur;757
59136;Le Cateau-Cambresis;7033;06-autres communes et unites urbaines;C;59;Hauts-de-France;59208
30029;Barjac;1576;04-Unites urbaines de 100 000 hbts ou plus;R;30;Occitanie;0
82013;Beaumont-de-Lomagne;3744;06-autres communes et unites urbaines;I;82;Occitanie;82103
49023;Beaupreau-en-Mauges;22965;05-Unites urbaines de 20 000 a 100 000 hbts;I;49;Pays de la Loire;49206
87011;Bellac;4107;06-autres communes et unites urbaines;C;87;Nouvelle Aquitaine;87202
78073;Bois-d'Arcy;14299;03-Petite couronne;B;78;Ile-de-France;851
91097;Boussy-Saint-Antoine;7027;03-Petite couronne;B;91;Ile-de-France;851
91103;Bretigny-sur-Orge;26215;03-Petite couronne;B;91;Ile-de-France;851
44012;La Bernerie-en-Retz;2834;06-autres communes et unites urbaines;B;44;Pays de la Loire;44304
44020;Bouguenais;18815;04-Unites urbaines de 100 000 hbts ou plus;B;44;Pays de la Loire;44701
44026;Carquefou;19411;04-Unites urbaines de 100 000 hbts ou plus;B;44;Pays de la Loire;44701
33051;Biganos;10258;06-autres communes et unites urbaines;C;33;Nouvelle Aquitaine;33304
33097;Carcans;2388;04-Unites urbaines de 100 000 hbts ou plus;R;33;Nouvelle Aquitaine;0
94004;Boissy-Saint-Leger;15922;02-Grande Couronne;B;94;Ile-de-France;851
95127;Cergy;63395;03-Petite couronne;B;95;Ile-de-France;851
76114;Bolbec;11679;06-autres communes et unites urbaines;C;76;Normandie;76302
40065;Capbreton;8776;06-autres communes et unites urbaines;C;40;Nouvelle Aquitaine;40301
47057;Castillonnes;1436;04-Unites urbaines de 100 000 hbts ou plus;R;47;Nouvelle Aquitaine;0
53039;Le Bourgneuf-la-Foret;1792;04-Unites urbaines de 100 000 hbts ou plus;R;53;Pays de la Loire;0
19031;Brive-la-Gaillarde;47349;05-Unites urbaines de 20 000 a 100 000 hbts;C;19;Nouvelle Aquitaine;554
46040;Cabrerets;230;04-Unites urbaines de 100 000 hbts ou plus;R;46;Occitanie;0
46042;Cahors;19340;05-Unites urbaines de 20 000 a 100 000 hbts;C;46;Occitanie;46401
6026;Cabris;1295;04-Unites urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Cote-d'Azur;6701
6029;Cannes;74285;04-Unites urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Cote-d'Azur;6701
6033;Carros;12008;04-Unites urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Cote-d'Azur;6701
12052;Capdenac-Gare;4542;06-autres communes et unites urbaines;B;12;Occitanie;364
65127;Capvern;1325;04-Unites urbaines de 100 000 hbts ou plus;R;65;Occitanie;0
35051;Cesson-Sevigne;17414;04-Unites urbaines de 100 000 hbts ou plus;B;35;Bretagne;35701
85152;Les Achards;4925;06-autres communes et unites urbaines;C;85;Pays de la Loire;85125
69270;Chaponnay;4098;04-Unites urbaines de 100 000 hbts ou plus;B;69;Auvergne - Rhone-Alpes;758
69044;Charbonnieres-les-Bains;5003;04-Unites urbaines de 100 000 hbts ou plus;B;69;Auvergne - Rhone-Alpes;758
42052;Charlieu;3694;06-autres communes et unites urbaines;C;42;Auvergne - Rhone-Alpes;42204
25125;Charmoille;335;04-Unites urbaines de 100 000 hbts ou plus;R;25;Bourgogne - Franche-Comte;0
71106;Charolles;2758;06-autres communes et unites urbaines;I;71;Bourgogne - Franche-Comte;71105
85059;La Chataigneraie;2536;06-autres communes et unites urbaines;C;85;Pays de la Loire;85123
44036;Chateaubriant;12067;06-autres communes et unites urbaines;I;44;Pays de la Loire;44302
58062;Chateau-Chinon (Ville);2071;06-autres communes et unites urbaines;I;58;Bourgogne - Franche-Comte;58101
36044;Chateauroux;43732;05-Unites urbaines de 20 000 a 100 000 hbts;C;36;Centre - Val-de-Loire;36501
2168;Chateau-Thierry;14602;05-Unites urbaines de 20 000 a 100 000 hbts;C;2;Hauts-de-France;2401
74063;Chatel;1224;06-autres communes et unites urbaines;C;74;Auvergne - Rhone-Alpes;74108
92019;Chatenay-Malabry;33330;02-Grande Couronne;B;92;Ile-de-France;851
35072;Chatillon-en-Vendelais;1700;04-Unites urbaines de 100 000 hbts ou plus;R;35;Bretagne;0
1093;Chatillon-sur-Chalaronne;4914;06-autres communes et unites urbaines;I;1;Auvergne - Rhone-Alpes;1124
2173;Chauny;11831;06-autres communes et unites urbaines;C;2;Hauts-de-France;2303
92023;Clamart;52645;02-Grande Couronne;B;92;Ile-de-France;851
58079;Clamecy;3867;06-autres communes et unites urbaines;C;58;Bourgogne - Franche-Comte;58107
16102;Cognac;18654;05-Unites urbaines de 20 000 a 100 000 hbts;C;16;Nouvelle Aquitaine;16401
92025;Colombes;85199;02-Grande Couronne;B;92;Ile-de-France;851
31149;Colomiers;38801;04-Unites urbaines de 100 000 hbts ou plus;B;31;Occitanie;31701
77122;Combs-la-Ville;22154;03-Petite couronne;B;77;Ile-de-France;851
78172;Conflans-Sainte-Honorine;35019;03-Petite couronne;B;78;Ile-de-France;851
16106;Confolens;2711;06-autres communes et unites urbaines;I;16;Nouvelle Aquitaine;16102
62239;Coquelles;2519;04-Unites urbaines de 100 000 hbts ou plus;B;62;Hauts-de-France;62504
58086;Cosne-Cours-sur-Loire;10388;06-autres communes et unites urbaines;C;58;Bourgogne - Franche-Comte;58301
17121;La Couarde-sur-Mer;1199;06-autres communes et unites urbaines;C;17;Nouvelle Aquitaine;17118
60164;Le Coudray-Saint-Germer;951;04-Unites urbaines de 100 000 hbts ou plus;R;60;Hauts-de-France;0
77131;Coulommiers;15116;03-Petite couronne;C;77;Ile-de-France;77402
63124;Cournon-d'Auvergne;19768;04-Unites urbaines de 100 000 hbts ou plus;B;63;Auvergne - Rhone-Alpes;63701
69069;Craponne;10979;04-Unites urbaines de 100 000 hbts ou plus;B;69;Auvergne - Rhone-Alpes;758
80222;Crecy-en-Ponthieu;1475;04-Unites urbaines de 100 000 hbts ou plus;R;80;Hauts-de-France;0
60176;Crepy-en-Valois;15049;06-autres communes et unites urbaines;I;60;Hauts-de-France;60303
34090;Le Cres;9220;04-Unites urbaines de 100 000 hbts ou plus;B;34;Occitanie;34701
94028;Creteil;90739;02-Grande Couronne;B;94;Ile-de-France;851
58095;Decize;5623;06-autres communes et unites urbaines;C;58;Bourgogne - Franche-Comte;58201
26113;Die;4576;06-autres communes et unites urbaines;I;26;Auvergne - Rhone-Alpes;26110
4070;Digne-les-Bains;16246;06-autres communes et unites urbaines;C;4;Provence-Alpes-Cote-d'Azur;4301
21231;Dijon;155114;04-Unites urbaines de 100 000 hbts ou plus;C;21;Bourgogne - Franche-Comte;21701
60200;Domfront;307;04-Unites urbaines de 100 000 hbts ou plus;R;60;Hauts-de-France;0
95199;Domont;15343;03-Petite couronne;B;95;Ile-de-France;851
80253;Doullens;6321;06-autres communes et unites urbaines;C;80;Hauts-de-France;80204
14228;Douvres-la-Delivrande;5190;06-autres communes et unites urbaines;C;14;Normandie;14302
93029;Drancy;69568;02-Grande Couronne;B;93;Ile-de-France;851
28134;Dreux;30836;05-Unites urbaines de 20 000 a 100 000 hbts;C;28;Centre - Val-de-Loire;28401
30106;Durfort-et-Saint-Martin-de-Sossenac;689;04-Unites urbaines de 100 000 hbts ou plus;R;30;Occitanie;0
66065;Elne;8659;05-Unites urbaines de 20 000 a 100 000 hbts;C;66;Occitanie;66401
88160;epinal;31938;05-Unites urbaines de 20 000 a 100 000 hbts;C;88;Grand-Est;88501
93031;epinay-sur-Seine;54840;02-Grande Couronne;B;93;Ile-de-France;851
12096;Espalion;4545;06-autres communes et unites urbaines;C;12;Occitanie;12201
91223;etampes;24271;03-Petite couronne;C;91;Ile-de-France;91401
91228;evry;53871;03-Petite couronne;B;91;Ile-de-France;851
87064;Eymoutiers;2055;04-Unites urbaines de 100 000 hbts ou plus;R;87;Nouvelle Aquitaine;0
33162;Eysines;22864;04-Unites urbaines de 100 000 hbts ou plus;B;33;Nouvelle Aquitaine;33701
56057;Le Faouet;2815;06-autres communes et unites urbaines;I;56;Bretagne;56109
83055;Fayence;5670;06-autres communes et unites urbaines;C;83;Provence-Alpes-Cote-d'Azur;83301
2307;La Ferte-Milon;2123;06-autres communes et unites urbaines;I;2;Hauts-de-France;2107
42095;Firminy;16839;04-Unites urbaines de 100 000 hbts ou plus;B;42;Auvergne - Rhone-Alpes;753
83057;Flassans-sur-Issole;3485;06-autres communes et unites urbaines;I;83;Provence-Alpes-Cote-d'Azur;83108
77186;Fontainebleau;14974;03-Petite couronne;C;77;Ile-de-France;77406
57240;Freyming-Merlebach;13059;05-Unites urbaines de 20 000 a 100 000 hbts;C;57;Grand-Est;57501
93032;Gagny;39603;02-Grande Couronne;B;93;Ile-de-France;851
81099;Gaillac;15423;06-autres communes et unites urbaines;C;81;Occitanie;81303
34111;Ganges;3950;06-autres communes et unites urbaines;C;34;Occitanie;34209
5061;Gap;40776;05-Unites urbaines de 20 000 a 100 000 hbts;C;5;Provence-Alpes-Cote-d'Azur;5401
16146;Garat;1999;04-Unites urbaines de 100 000 hbts ou plus;R;16;Nouvelle Aquitaine;0
92033;Garches;17762;02-Grande Couronne;B;92;Ile-de-France;851
13041;Gardanne;19749;04-Unites urbaines de 100 000 hbts ou plus;B;13;Provence-Alpes-Cote-d'Azur;759
88196;Gerardmer;8294;06-autres communes et unites urbaines;C;88;Grand-Est;88301
74134;Les Gets;1251;04-Unites urbaines de 100 000 hbts ou plus;R;74;Auvergne - Rhone-Alpes;0
1173;Gex;11687;06-autres communes et unites urbaines;C;1;Auvergne - Rhone-Alpes;1301
8190;Givet;6699;06-autres communes et unites urbaines;C;8;Grand-Est;8206
76305;Gonfreville-l'Orcher;9234;04-Unites urbaines de 100 000 hbts ou plus;B;76;Normandie;76701
46128;Gramat;3649;06-autres communes et unites urbaines;I;46;Occitanie;46103
59271;Grande-Synthe;23634;04-Unites urbaines de 100 000 hbts ou plus;B;59;Hauts-de-France;59602
6069;Grasse;50937;04-Unites urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Cote-d'Azur;6701
59273;Gravelines;11586;04-Unites urbaines de 100 000 hbts ou plus;B;59;Hauts-de-France;59602
70279;Gray;5484;06-autres communes et unites urbaines;C;70;Bourgogne - Franche-Comte;70301
38185;Grenoble;160649;04-Unites urbaines de 100 000 hbts ou plus;C;38;Auvergne - Rhone-Alpes;38701
56069;Groix;2262;04-Unites urbaines de 100 000 hbts ou plus;R;56;Bretagne;0
44067;Guemene-Penfao;5231;06-autres communes et unites urbaines;I;44;Pays de la Loire;44122
35125;La Guerche-de-Bretagne;4281;06-autres communes et unites urbaines;C;35;Bretagne;35204
35176;Guipry-Messac;6888;06-autres communes et unites urbaines;B;35;Bretagne;35207
62413;Harnes;12595;04-Unites urbaines de 100 000 hbts ou plus;B;62;Hauts-de-France;756
76351;Le Havre;172366;04-Unites urbaines de 100 000 hbts ou plus;C;76;Normandie;76701
14333;Honfleur;7454;06-autres communes et unites urbaines;C;14;Normandie;363
33203;Hourtin;3490;06-autres communes et unites urbaines;I;33;Nouvelle Aquitaine;33103
95313;L' Isle-Adam;12249;03-Petite couronne;B;95;Ile-de-France;851
31239;L' Isle-en-Dodon;1677;04-Unites urbaines de 100 000 hbts ou plus;R;31;Occitanie;0
6073;Isola;693;04-Unites urbaines de 100 000 hbts ou plus;R;6;Provence-Alpes-Cote-d'Azur;0
63178;Issoire;14564;06-autres communes et unites urbaines;C;63;Auvergne - Rhone-Alpes;63304
92040;Issy-les-Moulineaux;69093;02-Grande Couronne;B;92;Ile-de-France;851
94041;Ivry-sur-Seine;59572;02-Grande Couronne;B;94;Ile-de-France;851
56091;Josselin;2495;06-autres communes et unites urbaines;I;56;Bretagne;56106
84058;Lacoste;409;04-Unites urbaines de 100 000 hbts ou plus;R;84;Provence-Alpes-Cote-d'Azur;0
22093;Lamballe;13465;06-autres communes et unites urbaines;I;22;Bretagne;22301
29103;Landerneau;15746;06-autres communes et unites urbaines;C;29;Bretagne;29308
5070;Laragne-Monteglin;3455;06-autres communes et unites urbaines;C;5;Provence-Alpes-Cote-d'Azur;5104
6075;Levens;4741;06-autres communes et unites urbaines;I;6;Provence-Alpes-Cote-d'Azur;6108
59350;Lille;232741;04-Unites urbaines de 100 000 hbts ou plus;C;59;Hauts-de-France;59702
76384;Lillebonne;8963;05-Unites urbaines de 20 000 a 100 000 hbts;C;76;Normandie;76402
14366;Lisieux;20771;05-Unites urbaines de 20 000 a 100 000 hbts;C;14;Normandie;14401
39300;Lons-le-Saunier;17459;05-Unites urbaines de 20 000 a 100 000 hbts;C;39;Bourgogne - Franche-Comte;39401
83072;Lorgues;9042;06-autres communes et unites urbaines;C;83;Provence-Alpes-Cote-d'Azur;83303
22136;Loudeac;9615;06-autres communes et unites urbaines;I;22;Bretagne;22205
65282;Loudenvielle;286;04-Unites urbaines de 100 000 hbts ou plus;R;65;Occitanie;0
71263;Louhans;6354;06-autres communes et unites urbaines;C;71;Bourgogne - Franche-Comte;71301
83073;Le Luc;10821;06-autres communes et unites urbaines;C;83;Provence-Alpes-Cote-d'Azur;83307
14384;Luc-sur-Mer;3171;06-autres communes et unites urbaines;C;14;Normandie;14302
70310;Lure;8253;06-autres communes et unites urbaines;C;70;Bourgogne - Franche-Comte;70302
69123;Lyon;513275;04-Unites urbaines de 100 000 hbts ou plus;C;69;Auvergne - Rhone-Alpes;758
69123;Lyon;513275;04-Unites urbaines de 100 000 hbts ou plus;C;69;Auvergne - Rhone-Alpes;758
44087;Machecoul-Saint-Meme;7341;06-autres communes et unites urbaines;I;44;Pays de la Loire;44202
92046;Malakoff;29897;02-Grande Couronne;B;92;Ile-de-France;851
72181;Le Mans;143325;04-Unites urbaines de 100 000 hbts ou plus;C;72;Pays de la Loire;72701
78361;Mantes-la-Jolie;44799;03-Petite couronne;B;78;Ile-de-France;851
91363;Marcoussis;8132;03-Petite couronne;B;91;Ile-de-France;851
13055;Marseille;861635;04-Unites urbaines de 100 000 hbts ou plus;C;13;Provence-Alpes-Cote-d'Azur;759
91377;Massy;48363;03-Petite couronne;B;91;Ile-de-France;851
35168;Val d'Anast;3908;04-Unites urbaines de 100 000 hbts ou plus;R;35;Bretagne;0
66107;Maury;802;04-Unites urbaines de 100 000 hbts ou plus;R;66;Occitanie;0
32249;Mauvezin;2149;04-Unites urbaines de 100 000 hbts ou plus;R;32;Occitanie;0
77284;Meaux;53720;03-Petite couronne;C;77;Ile-de-France;77501
79174;Melle;3607;06-autres communes et unites urbaines;C;79;Nouvelle Aquitaine;79203
80533;Mers-les-Bains;2840;05-Unites urbaines de 20 000 a 100 000 hbts;B;80;Hauts-de-France;453
60395;Meru;14703;06-autres communes et unites urbaines;I;60;Hauts-de-France;60302
95394;Mery-sur-Oise;9531;03-Petite couronne;B;95;Ile-de-France;851
74010;Annecy;125694;04-Unites urbaines de 100 000 hbts ou plus;C;74;Auvergne - Rhone-Alpes;74601
12145;Millau;22234;05-Unites urbaines de 20 000 a 100 000 hbts;C;12;Occitanie;12401
32256;Mirande;3483;06-autres communes et unites urbaines;C;32;Occitanie;32105
29150;Moelan-sur-Mer;6874;06-autres communes et unites urbaines;I;29;Bretagne;29206
24294;Montpon-Menesterol;5466;06-autres communes et unites urbaines;C;24;Nouvelle Aquitaine;354
47179;Monsempron-Libos;2093;06-autres communes et unites urbaines;B;47;Nouvelle Aquitaine;47302
77298;Mons-en-Montois;463;03-Petite couronne;R;77;Ile-de-France;0
85146;Montaigu;5180;06-autres communes et unites urbaines;C;85;Pays de la Loire;85302
45208;Montargis;14254;05-Unites urbaines de 20 000 a 100 000 hbts;C;45;Centre - Val-de-Loire;45501
25388;Montbeliard;25336;04-Unites urbaines de 100 000 hbts ou plus;C;25;Bourgogne - Franche-Comte;25601
63236;Mont-Dore;1328;04-Unites urbaines de 100 000 hbts ou plus;R;63;Auvergne - Rhone-Alpes;0
26198;Montelimar;38397;05-Unites urbaines de 20 000 a 100 000 hbts;C;26;Auvergne - Rhone-Alpes;551
17240;Montendre;3210;06-autres communes et unites urbaines;C;17;Nouvelle Aquitaine;17112
35188;Montfort-sur-Meu;6556;06-autres communes et unites urbaines;I;35;Bretagne;35208
1262;Montluel;7032;04-Unites urbaines de 100 000 hbts ou plus;B;1;Auvergne - Rhone-Alpes;758
86165;Montmorillon;6095;06-autres communes et unites urbaines;I;86;Nouvelle Aquitaine;86202
34172;Montpellier;277639;04-Unites urbaines de 100 000 hbts ou plus;C;34;Occitanie;34701
34172;Montpellier;277639;04-Unites urbaines de 100 000 hbts ou plus;C;34;Occitanie;34701
81182;Montredon-Labessonnie;2036;04-Unites urbaines de 100 000 hbts ou plus;R;81;Occitanie;0
62588;Montreuil;2133;06-autres communes et unites urbaines;C;62;Hauts-de-France;62201
41151;Montrichard Val de Cher;3837;06-autres communes et unites urbaines;C;41;Centre - Val-de-Loire;41204
76451;Mont-Saint-Aignan;19209;04-Unites urbaines de 100 000 hbts ou plus;B;76;Normandie;755
6084;Mouans-Sartoux;9510;04-Unites urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Cote-d'Azur;6701
8311;Mouzon;2356;06-autres communes et unites urbaines;I;8;Grand-Est;8102
40201;Mugron;1456;04-Unites urbaines de 100 000 hbts ou plus;R;40;Nouvelle Aquitaine;0
68224;Mulhouse;110370;04-Unites urbaines de 100 000 hbts ou plus;C;68;Grand-Est;68701
12164;Mur-de-Barrez;785;04-Unites urbaines de 100 000 hbts ou plus;R;12;Occitanie;0
44109;Nantes;303382;04-Unites urbaines de 100 000 hbts ou plus;C;44;Pays de la Loire;44701
11262;Narbonne;53462;05-Unites urbaines de 20 000 a 100 000 hbts;I;11;Occitanie;11502
11262;Narbonne;53462;05-Unites urbaines de 20 000 a 100 000 hbts;I;11;Occitanie;11502
47195;Nerac;6969;06-autres communes et unites urbaines;C;47;Nouvelle Aquitaine;47301
6088;Nice;342522;04-Unites urbaines de 100 000 hbts ou plus;C;6;Provence-Alpes-Cote-d'Azur;6701
30189;Nimes;150672;04-Unites urbaines de 100 000 hbts ou plus;C;30;Occitanie;30601
28280;Nogent-le-Rotrou;9956;06-autres communes et unites urbaines;C;28;Centre - Val-de-Loire;28301
94052;Nogent-sur-Marne;31550;02-Grande Couronne;B;94;Ile-de-France;851
10268;Nogent-sur-Seine;5965;06-autres communes et unites urbaines;I;10;Grand-Est;10202
85163;Noirmoutier-en-l'ile;4666;06-autres communes et unites urbaines;I;85;Pays de la Loire;85131
93051;Noisy-le-Grand;66213;02-Grande Couronne;B;93;Ile-de-France;851
13066;Noves;5761;04-Unites urbaines de 100 000 hbts ou plus;B;13;Provence-Alpes-Cote-d'Azur;754
60471;Noyon;13883;06-autres communes et unites urbaines;C;60;Hauts-de-France;60304
26220;Nyons;6690;06-autres communes et unites urbaines;I;26;Auvergne - Rhone-Alpes;26202
67348;Obernai;10751;06-autres communes et unites urbaines;C;67;Grand-Est;67303
64422;Oloron-Sainte-Marie;10818;06-autres communes et unites urbaines;C;64;Nouvelle Aquitaine;64303
74205;Onnion;1260;04-Unites urbaines de 100 000 hbts ou plus;R;74;Auvergne - Rhone-Alpes;0
68249;Orbey;3576;06-autres communes et unites urbaines;I;68;Grand-Est;68116
94055;Ormesson-sur-Marne;10161;02-Grande Couronne;B;94;Ile-de-France;851
66130;Osseja;1328;04-Unites urbaines de 100 000 hbts ou plus;R;66;Occitanie;0
1283;Oyonnax;22392;05-Unites urbaines de 20 000 a 100 000 hbts;C;1;Auvergne - Rhone-Alpes;1401
77350;Ozoir-la-Ferriere;20137;03-Petite couronne;B;77;Ile-de-France;851
56152;Le Palais;2579;06-autres communes et unites urbaines;I;56;Bretagne;56105
79202;Parthenay;10381;06-autres communes et unites urbaines;C;79;Nouvelle Aquitaine;79303
64445;Pau;77215;04-Unites urbaines de 100 000 hbts ou plus;C;64;Nouvelle Aquitaine;64601
94058;Le Perreux-sur-Marne;33970;02-Grande Couronne;B;94;Ile-de-France;851
84089;Pertuis;19645;06-autres communes et unites urbaines;I;84;Provence-Alpes-Cote-d'Azur;84303
33318;Pessac;61332;04-Unites urbaines de 100 000 hbts ou plus;B;33;Nouvelle Aquitaine;33701
40224;Peyrehorade;3616;06-autres communes et unites urbaines;C;40;Nouvelle Aquitaine;40204
15153;Pleaux;1517;04-Unites urbaines de 100 000 hbts ou plus;R;15;Auvergne - Rhone-Alpes;0
92060;Le Plessis-Robinson;28974;02-Grande Couronne;B;92;Ile-de-France;851
56165;Ploermel;9571;06-autres communes et unites urbaines;I;56;Bretagne;56216
29190;Plougonvelin;4083;06-autres communes et unites urbaines;I;29;Bretagne;29113
86194;Poitiers;87918;04-Unites urbaines de 100 000 hbts ou plus;C;86;Nouvelle Aquitaine;86601
54431;Pont-a-Mousson;14901;05-Unites urbaines de 20 000 a 100 000 hbts;C;54;Grand-Est;54404
25462;Pontarlier;17140;05-Unites urbaines de 20 000 a 100 000 hbts;C;25;Bourgogne - Franche-Comte;25401
