region;annee;pourcentage
Normandie;2019;18,93966032
Normandie;2020;20,29283765
Nouvelle Aquitaine;2016;15,02690615
Nouvelle Aquitaine;2017;16,48035419
Nouvelle Aquitaine;2018;16,65126115
Nouvelle Aquitaine;2019;18,2775566
Nouvelle Aquitaine;2020;19,07602104
Occitanie;2016;15,85716329
Occitanie;2017;15,75862949
Occitanie;2018;16,24157717
Occitanie;2019;19,44862162
Occitanie;2020;18,38821259
Pays de la Loire;2016;15,64975445
Pays de la Loire;2017;16,69220469
Pays de la Loire;2018;17,69103322
Pays de la Loire;2019;19,19710686
Pays de la Loire;2020;19,19674368
Provence-Alpes-Côte-d'Azur;2016;13,86773995
Provence-Alpes-Côte-d'Azur;2017;13,81106589
Provence-Alpes-Côte-d'Azur;2018;14,42785352
Provence-Alpes-Côte-d'Azur;2019;15,94544639
Provence-Alpes-Côte-d'Azur;2020;16,10135685
Auvergne - Rhône-Alpes;2016;18,11470506
Auvergne - Rhône-Alpes;2017;18,94196007
Auvergne - Rhône-Alpes;2018;19,80731627
Auvergne - Rhône-Alpes;2019;18,41379033
Auvergne - Rhône-Alpes;2020;20,65139142
Bourgogne - Franche-Comté;2016;20,40853392
Bourgogne - Franche-Comté;2017;21,66767368
Bourgogne - Franche-Comté;2018;19,22162152
Bourgogne - Franche-Comté;2019;17,73787438
Bourgogne - Franche-Comté;2020;19,03064689
Bretagne;2016;19,28810369
Bretagne;2017;19,6949389
Bretagne;2018;19,57643514
Bretagne;2019;16,80608513
Bretagne;2020;16,81394155
Centre - Val-de-Loire;2016;16,38291681
Centre - Val-de-Loire;2017;18,47277355
Centre - Val-de-Loire;2018;21,6744224
Centre - Val-de-Loire;2019;16,93179776
Centre - Val-de-Loire;2020;19,00476013
Corse;2016;
Corse;2017;
Corse;2018;
Corse;2019;
Corse;2020;
Grand-Est;2016;17,54810002
Grand-Est;2017;21,03262218
Grand-Est;2018;19,67237873
Grand-Est;2019;18,47012104
Grand-Est;2020;19,78082503
Hauts-de-France;2016;20,05795052
Hauts-de-France;2017;21,10914278
Hauts-de-France;2018;22,1466235
Hauts-de-France;2019;18,45027818
Hauts-de-France;2020;22,42702797
Ile-de-France;2016;18,07534438
Ile-de-France;2017;21,02985951
Ile-de-France;2018;21,74519276
Ile-de-France;2019;19,66285051
Ile-de-France;2020;22,22211785
Normandie;2016;18,99073823
Normandie;2017;21,66557849
Normandie;2018;22,79951545
Normandie;2019;18,82279663
Normandie;2020;18,95467415
Nouvelle Aquitaine;2016;18,98776142
Nouvelle Aquitaine;2017;20,0305144
Nouvelle Aquitaine;2018;20,82422552
Nouvelle Aquitaine;2019;18,02896883
Nouvelle Aquitaine;2020;19,73491627
Occitanie;2016;15,71971363
Occitanie;2017;16,65087931
Occitanie;2018;17,85405424
Occitanie;2019;16,08099017
Occitanie;2020;18,96973957
Pays de la Loire;2016;17,92042244
Pays de la Loire;2017;18,10909661
Pays de la Loire;2018;18,94466702
Pays de la Loire;2019;17,06412448
Pays de la Loire;2020;15,9981787
Provence-Alpes-Côte-d'Azur;2016;17,44369553
Provence-Alpes-Côte-d'Azur;2017;17,29878471
Provence-Alpes-Côte-d'Azur;2018;17,43097847
Provence-Alpes-Côte-d'Azur;2019;15,616073
Provence-Alpes-Côte-d'Azur;2020;19,95198214
Auvergne - Rhône-Alpes;2016;12,76219072
Auvergne - Rhône-Alpes;2017;12,5349439
Auvergne - Rhône-Alpes;2018;13,88029466
Auvergne - Rhône-Alpes;2019;10,72130946
Auvergne - Rhône-Alpes;2020;10,84596668
Bourgogne - Franche-Comté;2016;11,84618993
Bourgogne - Franche-Comté;2017;11,96413677
Bourgogne - Franche-Comté;2018;13,75799035
Bourgogne - Franche-Comté;2019;10,42131998
Bourgogne - Franche-Comté;2020;12,36305502
Bretagne;2016;9,797083367
Bretagne;2017;9,088355713
Bretagne;2018;11,53332655
Bretagne;2019;11,20415479
Bretagne;2020;11,44036553
Centre - Val-de-Loire;2016;11,78047324
Centre - Val-de-Loire;2017;10,9795731
Centre - Val-de-Loire;2018;11,83229358
Centre - Val-de-Loire;2019;10,20899643
Centre - Val-de-Loire;2020;9,052873278
Corse;2016;
Corse;2017;
Corse;2018;
Corse;2019;
Corse;2020;
Grand-Est;2016;12,74462098
Grand-Est;2017;12,87639064
Grand-Est;2018;13,37774318
Grand-Est;2019;11,15021562
Grand-Est;2020;11,05282297
Hauts-de-France;2016;14,38020237
Hauts-de-France;2017;12,09378267
Hauts-de-France;2018;14,51020785
Hauts-de-France;2019;11,47084149
Hauts-de-France;2020;10,99932715
Ile-de-France;2016;13,80384791
Ile-de-France;2017;13,3761403
Ile-de-France;2018;14,44839239
Ile-de-France;2019;11,78591326
Ile-de-France;2020;12,2290344
Normandie;2016;11,83536315
Normandie;2017;10,39812313
Normandie;2018;11,97509131
Normandie;2019;9,095852024
Normandie;2020;11,78976856
Nouvelle Aquitaine;2016;11,3535979
Nouvelle Aquitaine;2017;10,85699217
Nouvelle Aquitaine;2018;11,64498647
Nouvelle Aquitaine;2019;9,126380167
Nouvelle Aquitaine;2020;10,27698205
Occitanie;2016;13,36618651
Occitanie;2017;10,94804132
Occitanie;2018;11,91982864
Occitanie;2019;8,704129112
Occitanie;2020;9,373332628
Pays de la Loire;2016;13,59426554
Pays de la Loire;2017;11,68387027
Pays de la Loire;2018;11,57581643
Pays de la Loire;2019;9,303281149
Pays de la Loire;2020;9,976987642
Provence-Alpes-Côte-d'Azur;2016;11,43146127
Provence-Alpes-Côte-d'Azur;2017;10,06186127
Provence-Alpes-Côte-d'Azur;2018;12,56168327
Provence-Alpes-Côte-d'Azur;2019;10,09076266
Provence-Alpes-Côte-d'Azur;2020;9,497077206
Auvergne - Rhône-Alpes;2016;16,95454571
Auvergne - Rhône-Alpes;2017;16,32776322
Auvergne - Rhône-Alpes;2018;17,73302584
Auvergne - Rhône-Alpes;2019;13,80647249
Auvergne - Rhône-Alpes;2020;13,29764343
Bourgogne - Franche-Comté;2016;17,52314944
Bourgogne - Franche-Comté;2017;15,35592005
Bourgogne - Franche-Comté;2018;17,20371526
Bourgogne - Franche-Comté;2019;13,5332635
Bourgogne - Franche-Comté;2020;12,36738949
Bretagne;2016;17,88672778
Bretagne;2017;15,04447161
Bretagne;2018;15,52970346
Bretagne;2019;13,0488941
Bretagne;2020;12,11999425
Centre - Val-de-Loire;2016;14,50722503
Centre - Val-de-Loire;2017;13,40351845
Centre - Val-de-Loire;2018;16,26027204
Centre - Val-de-Loire;2019;13,35449163
Centre - Val-de-Loire;2020;12,84490788
Corse;2016;
Corse;2017;
Corse;2018;
Corse;2019;
Corse;2020;
Grand-Est;2016;17,02854578
Grand-Est;2017;15,58713341
Grand-Est;2018;17,74716568
Grand-Est;2019;13,88502962
Grand-Est;2020;12,54565812
Hauts-de-France;2016;18,56047231
Hauts-de-France;2017;16,10687811
Hauts-de-France;2018;17,86046056
Hauts-de-France;2019;14,33133571
Hauts-de-France;2020;12,90637742
Ile-de-France;2016;15,87840775
Ile-de-France;2017;14,92644905
Ile-de-France;2018;15,75560075
Ile-de-France;2019;12,79627397
Ile-de-France;2020;11,16024143
Normandie;2016;16,00055924
Normandie;2017;13,97908477
Normandie;2018;15,65550417
Normandie;2019;12,46589885
Normandie;2020;11,97345643
Nouvelle Aquitaine;2016;16,06841245
Nouvelle Aquitaine;2017;15,29251502
Nouvelle Aquitaine;2018;16,81646576
Nouvelle Aquitaine;2019;13,98486401
Nouvelle Aquitaine;2020;13,32312833
Occitanie;2016;16,76319963
Occitanie;2017;15,50934796
Occitanie;2018;17,41699956
Occitanie;2019;14,39160188
Occitanie;2020;14,21873749
Pays de la Loire;2016;16,58390819
Pays de la Loire;2017;15,62166307
Pays de la Loire;2018;16,00809869
Pays de la Loire;2019;13,15367324
Pays de la Loire;2020;12,10221407
Provence-Alpes-Côte-d'Azur;2016;16,25209483
Provence-Alpes-Côte-d'Azur;2017;13,99256507
Provence-Alpes-Côte-d'Azur;2018;14,58944136
Provence-Alpes-Côte-d'Azur;2019;11,92621277
Provence-Alpes-Côte-d'Azur;2020;11,13674031
Auvergne - Rhône-Alpes;2016;35,61467026
Auvergne - Rhône-Alpes;2017;34,50745811
Auvergne - Rhône-Alpes;2018;32,75388219
Auvergne - Rhône-Alpes;2019;38,58422921
Auvergne - Rhône-Alpes;2020;38,06611278
Bourgogne - Franche-Comté;2016;33,0717799
Bourgogne - Franche-Comté;2017;33,38294162
Bourgogne - Franche-Comté;2018;32,20456882
Bourgogne - Franche-Comté;2019;38,6693698
Bourgogne - Franche-Comté;2020;37,50309369
Bretagne;2016;38,80368555
Bretagne;2017;40,6883384
Bretagne;2018;36,01240303
Bretagne;2019;41,29309693
Bretagne;2020;42,95852833
Centre - Val-de-Loire;2016;41,84333476
Centre - Val-de-Loire;2017;41,46209597
Centre - Val-de-Loire;2018;34,27434947
Centre - Val-de-Loire;2019;40,33021432
Centre - Val-de-Loire;2020;40,96858977
Corse;2016;
Corse;2017;
Corse;2018;
Corse;2019;
Corse;2020;
Grand-Est;2016;38,54171105
Grand-Est;2017;35,09205384
Grand-Est;2018;33,59014886
Grand-Est;2019;38,1439244
Grand-Est;2020;37,83033359
Hauts-de-France;2016;29,87870582
Hauts-de-France;2017;33,66726554
Hauts-de-France;2018;28,47906223
Hauts-de-France;2019;35,16346687
Hauts-de-France;2020;34,98516813
Ile-de-France;2016;39,62425999
Ile-de-France;2017;36,26365184
Ile-de-France;2018;34,46951222
Ile-de-France;2019;40,83421369
Ile-de-France;2020;39,77910755
Normandie;2016;36,53911946
Normandie;2017;37,56462213
Normandie;2018;31,91428231
Normandie;2019;40,67579217
Normandie;2020;36,98926321
Nouvelle Aquitaine;2016;38,56332209
